Data (bytes)	Time (s)
358848	2.000329
391104	2.000297
413280	2.000655
418320	2.000634
417312	2.000690
370944	2.000327
402192	2.000252
419328	2.000672
407232	2.000569
435456	2.000296
388080	2.000673
408240	2.000640
444528	2.000750
430416	2.000595
457632	2.000204
408240	2.000681
409248	2.000648
420336	2.000296
439488	2.000293
429408	2.000308
391104	2.000634
399168	2.000812
413280	2.000765
417312	2.000628
416304	2.000290
399168	2.000473
415296	2.000290
269136	2.000616
437472	2.000291
404208	2.000478
