Data (bytes)	Time (s)
302400	2.000707
278208	2.000634
279216	2.000666
277200	2.000646
276192	2.000655
319536	2.000749
275184	2.000663
284256	2.000291
181440	2.000436
284256	2.000428
321552	2.000649
274176	2.000433
277200	2.000660
276192	2.000662
264096	2.000773
410256	2.000664
438480	2.000325
397152	2.000289
300384	2.000298
459648	2.000289
419328	2.000627
419328	2.000295
425376	2.000292
446544	2.000289
443520	2.000609
416304	2.000297
412272	2.000294
438480	2.000296
414288	2.000297
412272	2.000300
